node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.80097,199.02973,1.513481,0.0
1,7,99999.840776,159.223784,0.947952,0.0
1,16,99999.80097,199.02973,1.715422,0.0
2,4,99999.80097,199.02973,0.203967,0.0
2,7,99999.80097,199.02973,0.371456,0.0
2,12,99999.800979,199.021478,1.093268,0.0
2,13,99999.800979,199.021478,0.543475,0.0
2,18,24999.80097,199.02973,1.506925,0.0
2,23,24999.80097,199.02973,0.0,0.0
3,10,99999.800962,199.037983,0.704169,0.0
3,11,24999.840776,159.223784,1.380682,0.0
3,14,1549.75452,245.480179,2.467155,0.0
3,21,99999.794327,205.672583,1.544237,0.0
4,16,99999.800962,199.037983,1.319766,0.0
5,8,24999.800962,199.037983,2.12121,0.0
5,16,24999.800962,199.037983,0.643492,0.0
6,7,1549.800962,199.037983,1.282334,0.0
6,19,1549.75452,245.480179,1.790762,0.0
7,17,99999.800962,199.037983,0.515342,0.0
7,19,24999.800962,199.037983,1.465917,0.0
7,21,99999.800962,199.037983,1.094699,0.0
8,9,24999.761154,238.84558,1.295328,0.0
9,15,24999.761164,238.835676,1.33884,0.0
9,16,99999.800962,199.037983,1.536369,0.0
10,11,24999.75453,245.470001,1.563549,0.0
10,12,99999.761164,238.835676,1.578569,0.0
10,16,99999.75452,245.480179,1.547694,0.0
10,17,99999.80097,199.02973,0.730157,0.0
12,22,99999.80097,199.02973,1.290202,0.0
13,14,1549.80097,199.02973,1.340389,0.0
13,17,99999.80097,199.02973,0.459194,0.0
13,19,24999.80097,199.02973,1.062393,0.0
15,20,24999.800979,199.021478,0.587463,0.0
17,20,99999.80097,199.02973,0.561714,0.0
17,23,24999.800962,199.037983,0.137568,0.0
18,21,24999.800962,199.037983,0.45836,0.0
20,22,24999.80097,199.02973,0.628233,0.0
